date;month;year;service;type_paiment;affluence;num_month
11/1/2022;Enero;2022;S/Metro;Prepago;1393;1
11/1/2022;Enero;2022;S/Metro;Gratuidad;7598;1
12/1/2022;Enero;2022;Servicios Temporales;Boleto;1945;1
12/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
12/1/2022;Enero;2022;Servicios Temporales;Gratuidad;336;1
12/1/2022;Enero;2022;Atenea;Boleto;17298;1
12/1/2022;Enero;2022;Atenea;Prepago;0;1
12/1/2022;Enero;2022;Atenea;Gratuidad;2991;1
12/1/2022;Enero;2022;Ecoatenea;Boleto;2928;1
12/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
12/1/2022;Enero;2022;Ecoatenea;Gratuidad;506;1
12/1/2022;Enero;2022;Ecobús;Boleto;23548;1
12/1/2022;Enero;2022;Ecobús;Prepago;1668;1
12/1/2022;Enero;2022;Ecobús;Gratuidad;4100;1
12/1/2022;Enero;2022;Expdirecto;Boleto;1679;1
12/1/2022;Enero;2022;Expdirecto;Prepago;304;1
12/1/2022;Enero;2022;Expdirecto;Gratuidad;293;1
12/1/2022;Enero;2022;Expreso;Boleto;76737;1
12/1/2022;Enero;2022;Expreso;Prepago;6416;1
12/1/2022;Enero;2022;Expreso;Gratuidad;13342;1
12/1/2022;Enero;2022;Nochebús;Boleto;624;1
12/1/2022;Enero;2022;Nochebús;Prepago;45;1
12/1/2022;Enero;2022;Nochebús;Gratuidad;48;1
12/1/2022;Enero;2022;Ordinario;Boleto;72062;1
12/1/2022;Enero;2022;Ordinario;Prepago;1551;1
12/1/2022;Enero;2022;Ordinario;Gratuidad;12480;1
12/1/2022;Enero;2022;S/Metro;Boleto;44838;1
12/1/2022;Enero;2022;S/Metro;Prepago;1426;1
12/1/2022;Enero;2022;S/Metro;Gratuidad;7766;1
13/1/2022;Enero;2022;Servicios Temporales;Boleto;2083;1
13/1/2022;Enero;2022;Servicios Temporales;Prepago;0;1
13/1/2022;Enero;2022;Servicios Temporales;Gratuidad;360;1
13/1/2022;Enero;2022;Atenea;Boleto;15331;1
13/1/2022;Enero;2022;Atenea;Prepago;0;1
13/1/2022;Enero;2022;Atenea;Gratuidad;2650;1
13/1/2022;Enero;2022;Ecoatenea;Boleto;1792;1
13/1/2022;Enero;2022;Ecoatenea;Prepago;0;1
13/1/2022;Enero;2022;Ecoatenea;Gratuidad;310;1
13/1/2022;Enero;2022;Ecobús;Boleto;23872;1
13/1/2022;Enero;2022;Ecobús;Prepago;1607;1
13/1/2022;Enero;2022;Ecobús;Gratuidad;4166;1
13/1/2022;Enero;2022;Expdirecto;Boleto;1657;1
13/1/2022;Enero;2022;Expdirecto;Prepago;249;1
13/1/2022;Enero;2022;Expdirecto;Gratuidad;292;1
13/1/2022;Enero;2022;Expreso;Boleto;79679;1
